mikko,"{199: ([71], 0.0028328611898017)}"
motivation,"{8: ([5], 0.02564102564102564), 9: ([5], 0.02564102564102564), 3143: ([0], 0.07692307692307693), 3472: ([5], 0.125), 3505: ([5], 0.125), 12334: ([18], 0.017857142857142856), 12336: ([18], 0.017857142857142856), 12691: ([1175], 9.857072449482504e-05), 12810: ([3], 0.008771929824561403), 14094: ([293], 0.0029069767441860465), 14105: ([141], 0.006172839506172839), 14107: ([293], 0.0029069767441860465), 14108: ([128], 0.006711409395973154), 14113: ([141], 0.006172839506172839), 14696: ([47], 0.004273504273504274), 16447: ([538, 1795, 2827], 0.000526131182041389), 20227: ([1], 0.09090909090909091), 21198: ([7], 0.05263157894736842), 22637: ([6], 0.05555555555555555), 23201: ([7], 0.05263157894736842), 23230: ([2, 13, 16], 0.17647058823529413), 23546: ([7], 0.05263157894736842), 24914: ([11], 0.012658227848101266), 25298: ([8], 0.05), 26684: ([124], 0.006802721088435374), 29149: ([2, 8], 0.16666666666666666), 29352: ([2, 33, 36], 0.08108108108108109), 29722: ([3], 0.0625), 30660: ([2, 12, 18], 0.13636363636363635), 31099: ([17], 0.03571428571428571), 31271: ([146], 0.005747126436781609), 31438: ([6], 0.05555555555555555), 31791: ([2, 22, 25], 0.11538461538461539), 31916: ([7], 0.05263157894736842), 32424: ([2], 0.06666666666666667), 32556: ([12], 0.022222222222222223), 32890: ([4], 0.0625), 33430: ([0, 24, 25], 0.11538461538461539), 33638: ([239, 250], 0.002560819462227913), 34448: ([234], 0.002777777777777778), 35272: ([47], 0.004273504273504274), 35559: ([95], 0.007518796992481203), 36095: ([6], 0.0625), 36458: ([11], 0.012658227848101266), 37309: ([7], 0.05263157894736842), 37809: ([5], 0.125), 38450: ([3], 0.006578947368421052)}"
motoda,"{45: ([300], 0.0022624434389140274), 91: ([94], 0.009259259259259259), 107: ([481], 0.0009891196834817012), 123: ([501], 0.0009891196834817012), 133: ([469], 0.0009891196834817012), 199: ([108], 0.0028328611898017), 358: ([939], 0.0004666355576294914), 482: ([173], 0.0012903225806451613), 516: ([478], 0.0020325203252032522), 537: ([219, 572], 0.0024449877750611247), 623: ([137], 0.003215434083601286)}"
movement,"{56: ([6, 52, 65], 0.0410958904109589), 104: ([5, 46, 54], 0.05172413793103448), 14352: ([67, 67], 0.0004302925989672978), 16676: ([182, 697, 980], 0.0023584905660377358), 26806: ([5, 48, 54], 0.05454545454545454), 29465: ([53], 0.007462686567164179), 30830: ([371], 0.0016501650165016502), 31042: ([49, 207, 440], 0.0037359900373599006), 31593: ([615], 0.0012674271229404308)}"
movements,"{51: ([11, 59, 74], 0.0379746835443038), 652: ([8, 52, 63], 0.04477611940298507), 24508: ([229], 0.001392757660167131), 31397: ([69, 79, 89, 99], 0.022222222222222223), 35087: ([551], 0.0011534025374855825)}"
movie,"{79: ([4, 50, 57], 0.04918032786885246), 566: ([4, 7, 12, 20], 0.09090909090909091), 3708: ([40], 0.007462686567164179), 4207: ([15], 0.006802721088435374), 4279: ([253, 256], 0.006734006734006734), 4423: ([220, 233, 282], 0.009868421052631578), 4427: ([219, 232, 287], 0.009708737864077669), 4471: ([166], 0.004366812227074236), 4490: ([165], 0.004424778761061947), 4515: ([28], 0.008064516129032258), 4519: ([340, 343], 0.005208333333333333), 4545: ([222, 235, 284], 0.00980392156862745), 4590: ([15], 0.006802721088435374), 4595: ([15], 0.006802721088435374), 4627: ([166], 0.004366812227074236), 4628: ([147, 150], 0.010471204188481676), 4639: ([147], 0.004739336492890996), 4664: ([166], 0.004366812227074236), 4683: ([147], 0.004761904761904762), 4802: ([139, 142], 0.010582010582010581), 4855: ([220, 233, 282], 0.009868421052631578), 4857: ([134], 0.005555555555555556), 4875: ([220, 233, 282], 0.009868421052631578), 4876: ([162], 0.0047169811320754715), 4954: ([228, 241, 291], 0.009584664536741214), 5031: ([228, 241, 291], 0.009584664536741214), 5055: ([15], 0.006802721088435374), 5075: ([134], 0.005555555555555556), 5092: ([13, 31], 0.015873015873015872), 5150: ([147], 0.004739336492890996), 5154: ([147], 0.004739336492890996), 5197: ([166], 0.004366812227074236), 5207: ([222, 235, 284], 0.00980392156862745), 5268: ([13, 31], 0.015748031496062992), 5279: ([13, 31], 0.015748031496062992), 5336: ([340, 343], 0.005208333333333333), 5341: ([220, 233, 282], 0.009868421052631578), 5374: ([143], 0.005291005291005291), 5399: ([28], 0.0047169811320754715), 5454: ([166], 0.004366812227074236), 5469: ([139], 0.005405405405405406), 5473: ([258, 261], 0.006622516556291391), 5477: ([335, 338], 0.005277044854881266), 5500: ([166], 0.004366812227074236), 5542: ([147], 0.004739336492890996), 5594: ([162], 0.004672897196261682), 5605: ([205, 218, 265], 0.010452961672473868), 5702: ([28], 0.0047169811320754715), 5722: ([28], 0.008264462809917356), 5732: ([335, 338], 0.005277044854881266), 5844: ([28], 0.008264462809917356), 5872: ([15], 0.006802721088435374), 5873: ([166, 179, 226], 0.012096774193548387), 5889: ([13, 31], 0.016), 5922: ([134], 0.005555555555555556), 5928: ([219, 232, 287], 0.009708737864077669), 5934: ([140, 143], 0.010526315789473684), 5995: ([158], 0.004694835680751174), 6023: ([142], 0.005319148936170213), 6060: ([257, 260], 0.006644518272425249), 6074: ([28], 0.004761904761904762), 6147: ([229, 242, 292], 0.009554140127388535), 6169: ([15], 0.006802721088435374), 6185: ([220, 233, 282], 0.009868421052631578), 6186: ([139, 142], 0.010582010582010581), 6208: ([15], 0.006622516556291391), 6224: ([147], 0.004739336492890996), 6268: ([166], 0.004366812227074236), 6305: ([147, 150], 0.010471204188481676), 6343: ([134], 0.005555555555555556), 6419: ([253, 256], 0.006734006734006734), 6469: ([205, 218, 265], 0.010452961672473868), 6480: ([13, 31], 0.015873015873015872), 6499: ([166], 0.004366812227074236), 6513: ([145, 148], 0.010582010582010581), 6637: ([166], 0.004366812227074236), 6693: ([15], 0.006802721088435374), 6738: ([220, 233, 282], 0.009868421052631578), 6761: ([213, 226, 273], 0.010169491525423728), 6832: ([166], 0.004366812227074236), 6880: ([220, 233, 282], 0.009868421052631578), 6929: ([13, 31], 0.015873015873015872), 6973: ([143], 0.005291005291005291), 6988: ([13, 31], 0.015873015873015872), 7022: ([147], 0.004739336492890996), 7031: ([28], 0.0047169811320754715), 7050: ([140, 143], 0.010526315789473684), 7258: ([220, 233, 282], 0.009868421052631578), 7324: ([166], 0.004366812227074236), 7347: ([170, 183, 230], 0.011904761904761904), 7391: ([253, 256], 0.006734006734006734), 7446: ([143], 0.005291005291005291), 7528: ([28], 0.008064516129032258), 7536: ([340, 343], 0.005208333333333333), 7544: ([28], 0.008264462809917356), 7567: ([254, 257], 0.006711409395973154), 7570: ([147], 0.004739336492890996), 7573: ([134], 0.005555555555555556), 7576: ([162], 0.004694835680751174), 7614: ([147], 0.004739336492890996), 7726: ([134], 0.005555555555555556), 7741: ([166, 179, 228], 0.012), 7766: ([13, 31], 0.01639344262295082), 7791: ([219, 232, 282], 0.009868421052631578), 7816: ([162], 0.004672897196261682), 7823: ([13, 31], 0.01639344262295082), 7848: ([147], 0.004739336492890996), 7866: ([335, 338], 0.005277044854881266), 7889: ([13, 31], 0.015748031496062992), 7895: ([222, 235, 284], 0.00980392156862745), 7959: ([220, 233, 282], 0.009868421052631578), 8014: ([15], 0.006802721088435374), 8043: ([147, 150], 0.010471204188481676), 8049: ([166], 0.004366812227074236), 8084: ([147], 0.004761904761904762), 8085: ([15], 0.006802721088435374), 8110: ([166], 0.004366812227074236), 8161: ([219, 232, 282], 0.009868421052631578), 8179: ([162], 0.004694835680751174), 8190: ([15], 0.006802721088435374), 8251: ([166], 0.004366812227074236), 8252: ([147], 0.004761904761904762), 8278: ([134], 0.005555555555555556), 8283: ([162], 0.004608294930875576), 8338: ([205, 218, 265], 0.010452961672473868), 8349: ([257, 260], 0.006644518272425249), 8419: ([142], 0.005319148936170213), 8439: ([166], 0.004366812227074236), 8453: ([219, 232, 282], 0.009868421052631578), 8468: ([143], 0.005291005291005291), 8488: ([147], 0.004761904761904762), 8561: ([140, 143], 0.010526315789473684), 8563: ([173], 0.0045662100456621), 8601: ([147], 0.004739336492890996), 8618: ([13], 0.007936507936507936), 8627: ([28], 0.0047169811320754715), 8634: ([220, 233, 282], 0.009868421052631578), 8660: ([147], 0.004739336492890996), 8696: ([147], 0.004739336492890996), 8765: ([13, 31], 0.015748031496062992), 8816: ([335, 338], 0.005277044854881266), 8826: ([147], 0.004739336492890996), 8888: ([166], 0.004366812227074236), 8890: ([147, 150], 0.010471204188481676), 8935: ([166, 179, 228], 0.012), 8971: ([28], 0.0047169811320754715), 9002: ([15], 0.006802721088435374), 9008: ([139, 142], 0.010582010582010581), 9015: ([161], 0.004464285714285714), 9052: ([15], 0.006622516556291391), 9102: ([166], 0.004366812227074236), 9125: ([147], 0.004739336492890996), 9152: ([253, 256], 0.006734006734006734), 9177: ([147], 0.004739336492890996), 9194: ([170, 183, 230], 0.011904761904761904), 9215: ([15], 0.007692307692307693), 9272: ([228, 241, 291], 0.009584664536741214), 9282: ([219, 232, 282], 0.009868421052631578), 9336: ([213, 226, 273], 0.010169491525423728), 9369: ([145, 148], 0.010582010582010581), 12691: ([3492, 4772, 4878, 9517], 0.00039428289797930016), 13372: ([0, 23, 36, 0, 23, 36], 0.006153846153846154), 13392: ([36, 36], 0.0020512820512820513), 13418: ([41], 0.011494252873563218), 13524: ([11, 41, 61], 0.04285714285714286), 13548: ([6], 0.016129032258064516), 13566: ([0, 19, 28], 0.08108108108108109), 13580: ([7], 0.010638297872340425), 13633: ([1, 18, 28], 0.08108108108108109), 13835: ([2, 28, 41], 0.057692307692307696), 13841: ([41], 0.00819672131147541), 13870: ([64], 0.008264462809917356), 13898: ([20], 0.011627906976744186), 13908: ([2, 26, 37], 0.06521739130434782), 14603: ([142], 0.006097560975609756), 15931: ([130], 0.0029940119760479044), 18441: ([4], 0.004672897196261682), 24099: ([18], 0.01020408163265306), 26913: ([52], 0.009174311926605505), 31321: ([40, 44, 51], 0.03), 32192: ([135], 0.004016064257028112), 32326: ([0, 29, 31], 0.09090909090909091), 32617: ([485, 547, 586], 0.0026954177897574125), 32687: ([20], 0.022222222222222223), 32803: ([135], 0.004016064257028112), 35201: ([130], 0.0029940119760479044), 35571: ([3, 27], 0.009433962264150943), 36059: ([18], 0.01818181818181818), 36980: ([13, 59], 0.011494252873563218), 37010: ([130], 0.0034965034965034965), 38634: ([147], 0.0038314176245210726), 38683: ([139], 0.00392156862745098)}"
mpg,"{256: ([5, 8, 13, 15, 16, 18, 20, 22, 23, 29, 38], 0.03492063492063492), 296: ([5, 52, 60], 0.046875)}"
mpsoc,"{7: ([4], 0.022727272727272728), 28530: ([22], 0.03333333333333333), 29630: ([417], 0.001184834123222749)}"
mturk,"{212: ([4, 48, 59], 0.04477611940298507)}"
muchnik,"{107: ([355], 0.0009891196834817012), 123: ([401], 0.0009891196834817012), 133: ([355], 0.0009891196834817012), 343: ([439], 0.0008620689655172414), 358: ([739], 0.0004666355576294914), 382: ([121], 0.003067484662576687), 552: ([481], 0.0007374631268436578), 583: ([95], 0.002638522427440633)}"
mukund,"{160: ([113], 0.003663003663003663), 199: ([138], 0.0028328611898017), 318: ([61], 0.005494505494505495), 344: ([285], 0.0011098779134295228), 493: ([70], 0.006289308176100629), 537: ([201], 0.0012224938875305623), 539: ([225], 0.002638522427440633), 623: ([119], 0.003215434083601286), 680: ([153], 0.0014814814814814814)}"
multiclass,"{57: ([133], 0.0025974025974025974), 89: ([546], 0.0016339869281045752), 118: ([55, 119, 177], 0.011450381679389313), 128: ([102, 210], 0.009345794392523364), 140: ([101], 0.0035714285714285713), 160: ([46], 0.003663003663003663), 187: ([94, 395, 554], 0.0049586776859504135), 199: ([49], 0.0028328611898017), 230: ([46], 0.007692307692307693), 324: ([183], 0.0015552099533437014), 325: ([124, 197, 281, 511], 0.0037313432835820895), 328: ([209], 0.004310344827586207), 335: ([52], 0.009345794392523364), 344: ([74, 536, 815], 0.003329633740288568), 354: ([127, 230], 0.0032414910858995136), 389: ([224], 0.002403846153846154), 453: ([41], 0.003484320557491289), 476: ([541], 0.0009852216748768472), 497: ([346], 0.0009157509157509158), 501: ([44, 162], 0.008130081300813009), 511: ([55, 243], 0.004434589800443459), 537: ([509, 685], 0.0024449877750611247), 580: ([677], 0.0012787723785166241), 612: ([183, 628, 1651, 1817], 0.0017825311942959), 613: ([89, 104, 369, 609, 775, 1068], 0.0053523639607493305), 618: ([778], 0.0012787723785166241), 623: ([110], 0.003215434083601286), 651: ([124, 197, 281, 529], 0.0037313432835820895), 653: ([426], 0.0019455252918287938), 662: ([55, 243], 0.004434589800443459), 12809: ([5], 0.09090909090909091), 12904: ([3], 0.09090909090909091), 14762: ([31], 0.007246376811594203)}"
multiinstance,"{153: ([140, 189, 207, 238], 0.014705882352941176), 475: ([10, 60, 77], 0.03529411764705882), 627: ([120, 189, 207, 238], 0.014705882352941176), 14138: ([236], 0.002512562814070352), 14189: ([236], 0.0025906735751295338)}"
multilayer,"{147: ([258, 345], 0.004132231404958678), 314: ([631, 966, 1054], 0.0024752475247524753), 344: ([425, 781, 868], 0.003329633740288568), 600: ([165, 179], 0.008928571428571428), 3207: ([81], 0.000946969696969697), 3273: ([8], 0.006896551724137931), 3285: ([8], 0.0064516129032258064), 12866: ([0], 0.09090909090909091), 20050: ([4], 0.05555555555555555)}"
multiobjective,"{42: ([173], 0.0018248175182481751), 187: ([154], 0.001652892561983471), 314: ([244, 1147], 0.0016501650165016502), 328: ([126], 0.004310344827586207), 343: ([785], 0.0008620689655172414), 382: ([288], 0.003067484662576687), 452: ([843, 1173], 0.0015885623510722795), 453: ([68], 0.003484320557491289), 513: ([87], 0.0049261083743842365), 3205: ([915], 0.0009199632014719411), 3236: ([62], 0.0049261083743842365), 3290: ([62], 0.004694835680751174)}"
multiple,"{37: ([68], 0.0078125), 45: ([162, 178], 0.004524886877828055), 62: ([94], 0.005780346820809248), 89: ([201], 0.0016339869281045752), 153: ([109, 166], 0.007352941176470588), 314: ([296], 0.0008250825082508251), 320: ([7, 53, 66], 0.0410958904109589), 322: ([4, 9, 12, 14, 21, 30], 0.04878048780487805), 325: ([482], 0.0009328358208955224), 328: ([152], 0.004310344827586207), 343: ([288, 385], 0.0017241379310344827), 344: ([345, 408], 0.0022197558268590455), 354: ([285], 0.0016207455429497568), 358: ([1081, 2110], 0.0009332711152589828), 363: ([107], 0.004032258064516129), 386: ([8, 56, 71], 0.0379746835443038), 389: ([173], 0.002403846153846154), 417: ([102], 0.00684931506849315), 452: ([298, 415, 552], 0.0023828435266084196), 493: ([131], 0.006289308176100629), 513: ([135], 0.0049261083743842365), 537: ([431], 0.0012224938875305623), 552: ([747], 0.0007374631268436578), 580: ([84], 0.0012787723785166241), 597: ([521], 0.0009727626459143969), 602: ([4, 51, 59], 0.046875), 612: ([952, 1008], 0.00089126559714795), 613: ([372, 544], 0.001784121320249777), 618: ([84], 0.0012787723785166241), 627: ([109, 166], 0.007352941176470588), 651: ([482], 0.0009328358208955224), 680: ([462], 0.0014814814814814814), 3205: ([951], 0.0009199632014719411), 3236: ([98], 0.0049261083743842365), 3290: ([98], 0.004694835680751174), 4209: ([14], 0.0029239766081871343), 4371: ([14], 0.0029239766081871343), 4708: ([41], 0.0030303030303030303), 4919: ([14], 0.0029239766081871343), 5016: ([14], 0.0029239766081871343), 5161: ([41], 0.003048780487804878), 5727: ([14], 0.0029239766081871343), 5876: ([41], 0.002638522427440633), 5960: ([14], 0.0029239766081871343), 6038: ([14], 0.0029239766081871343), 6046: ([14], 0.0029239766081871343), 6365: ([14], 0.0029239766081871343), 6810: ([14], 0.0034129692832764505), 6928: ([41], 0.002638522427440633), 7597: ([14], 0.0029239766081871343), 7994: ([14], 0.0034129692832764505), 8518: ([41], 0.0030303030303030303), 8555: ([14], 0.0029239766081871343), 8732: ([41], 0.003048780487804878), 8737: ([14], 0.0029239766081871343), 9132: ([41], 0.003048780487804878), 9405: ([384, 490, 698], 0.0028957528957528956), 10292: ([16], 0.016129032258064516), 10334: ([0, 11, 16, 0, 11, 16], 0.003244997295835587), 11012: ([20], 0.020833333333333332), 11103: ([3, 18, 29, 37], 0.09523809523809523), 11737: ([20], 0.022222222222222223), 11950: ([28], 0.02040816326530612), 12242: ([17], 0.023809523809523808), 12352: ([65], 0.009433962264150943), 12376: ([0], 0.024390243902439025), 12615: ([95], 0.0049504950495049506), 12616: ([95], 0.0051813471502590676), 12789: ([8], 0.021739130434782608), 12802: ([75], 0.010416666666666666), 12874: ([14], 0.015151515151515152), 13066: ([386], 0.0017094017094017094), 14094: ([48], 0.0029069767441860465), 14107: ([48], 0.0029069767441860465), 14466: ([5], 0.024390243902439025), 14635: ([3], 0.08333333333333333), 14732: ([0, 74, 328, 412], 0.007984031936127744), 15228: ([23], 0.009009009009009009), 15554: ([9], 0.025), 15572: ([9], 0.041666666666666664), 15688: ([16], 0.02), 15816: ([2], 0.05), 16067: ([42, 267], 0.0029985007496251873), 16282: ([0, 5], 0.2), 16447: ([1349, 2606, 3638, 4454, 5138, 5362], 0.001052262364082778), 16479: ([72, 74, 196, 198, 658, 700], 0.0062827225130890054), 16953: ([8, 10, 16, 18, 28, 30], 0.05454545454545454), 17201: ([14], 0.014285714285714285), 17236: ([136, 180, 191, 495, 533, 544], 0.010810810810810811), 17417: ([131], 0.0010050251256281408), 17618: ([9], 0.05263157894736842), 17799: ([53], 0.0008968609865470852), 17867: ([3], 0.08333333333333333), 17965: ([5], 0.018518518518518517), 18197: ([714, 738, 1463, 1487], 0.0026702269692923898), 18338: ([41], 0.017857142857142856), 18935: ([0, 30, 32], 0.08823529411764706), 18980: ([191], 0.0043859649122807015), 19090: ([21], 0.02702702702702703), 19169: ([3], 0.08333333333333333), 19177: ([38], 0.015873015873015872), 19207: ([3], 0.017241379310344827), 19616: ([23], 0.017857142857142856), 19620: ([53], 0.009174311926605505), 19797: ([25], 0.02564102564102564), 20154: ([4], 0.07142857142857142), 20173: ([5], 0.05263157894736842), 20444: ([22], 0.030303030303030304), 20549: ([59], 0.008264462809917356), 20550: ([130], 0.006756756756756757), 20655: ([160, 446, 498], 0.00272975432211101), 20804: ([38], 0.00980392156862745), 20850: ([11, 35, 47], 0.05555555555555555), 20898: ([25], 0.022222222222222223), 20912: ([23], 0.022727272727272728), 20945: ([10], 0.0625), 21201: ([819], 0.0010893246187363835), 21216: ([3], 0.08333333333333333), 21285: ([3], 0.08333333333333333), 21326: ([41], 0.02), 21967: ([36], 0.0055248618784530384), 22229: ([4], 0.037037037037037035), 22278: ([14], 0.030303030303030304), 22484: ([114], 0.004807692307692308), 22695: ([190], 0.004784688995215311), 23411: ([85], 0.010526315789473684), 23533: ([11], 0.045454545454545456), 23772: ([0, 5, 9, 11], 0.3076923076923077), 23964: ([3], 0.08333333333333333), 23974: ([123], 0.0070921985815602835), 23994: ([230, 459, 606], 0.003464203233256351), 24065: ([91], 0.009900990099009901), 24508: ([5], 0.001392757660167131), 24564: ([3], 0.08333333333333333), 24589: ([273], 0.0019230769230769232), 24698: ([3], 0.05), 24715: ([3], 0.08333333333333333), 25126: ([0, 5], 0.2), 25413: ([131], 0.005952380952380952), 25478: ([3], 0.08333333333333333), 25498: ([26], 0.025), 25523: ([11, 26], 0.0625), 26084: ([452, 1134], 0.0014084507042253522), 26309: ([86], 0.0051813471502590676), 26505: ([3], 0.08333333333333333), 26560: ([47], 0.015384615384615385), 26609: ([35], 0.02127659574468085), 26969: ([3, 8], 0.2), 27179: ([0, 12, 17], 0.13636363636363635), 27203: ([182, 479, 534], 0.0026431718061674008), 27408: ([245], 0.002849002849002849), 27567: ([506, 646], 0.0017497812773403325), 27715: ([3], 0.08333333333333333), 27734: ([332], 0.0012062726176115801), 27962: ([188, 499], 0.002325581395348837), 28411: ([109], 0.004132231404958678), 28863: ([282], 0.0021645021645021645), 28936: ([20], 0.023255813953488372), 29298: ([3], 0.017241379310344827), 29531: ([5], 0.018518518518518517), 30362: ([528], 0.00032414910858995135), 30424: ([626], 0.0011933174224343676), 30501: ([3], 0.08333333333333333), 30588: ([15], 0.0136986301369863), 30804: ([455], 0.0016638935108153079), 30814: ([0, 43, 45], 0.06382978723404255), 30928: ([3], 0.08333333333333333), 30944: ([127], 0.0034482758620689655), 31091: ([361], 0.0014992503748125937), 31267: ([4, 17, 22], 0.1111111111111111), 31478: ([736, 753], 0.002355712603062426), 31681: ([91], 0.007246376811594203), 31827: ([35], 0.018518518518518517), 32176: ([3], 0.08333333333333333), 32210: ([3], 0.08333333333333333), 32527: ([35], 0.00980392156862745), 32617: ([981], 0.0008984725965858042), 32728: ([1333], 0.0005707762557077625), 32745: ([3], 0.08333333333333333), 32781: ([244], 0.004), 32852: ([96, 122], 0.01015228426395939), 32908: ([10], 0.047619047619047616), 32977: ([35], 0.02127659574468085), 33063: ([3], 0.08333333333333333), 33432: ([126], 0.003952569169960474), 33452: ([418, 629], 0.0028653295128939827), 33638: ([140, 402], 0.002560819462227913), 33735: ([35], 0.007751937984496124), 33986: ([11], 0.05), 34116: ([10], 0.024390243902439025), 34183: ([281, 652, 1003, 1353], 0.0025396825396825397), 34302: ([1, 14, 30, 38, 45, 143, 148, 464], 0.010471204188481676), 34384: ([22], 0.005), 34444: ([605], 0.0012121212121212121), 34745: ([4, 17, 22], 0.1111111111111111), 34821: ([36, 90], 0.0196078431372549), 34985: ([539], 0.0014534883720930232), 35141: ([83], 0.009433962264150943), 35161: ([0, 5, 10], 0.2), 36039: ([4, 33], 0.0392156862745098), 36185: ([3, 8, 13], 0.2), 36518: ([19], 0.015873015873015872), 36667: ([6], 0.027777777777777776), 36844: ([6], 0.034482758620689655), 36914: ([18], 0.02040816326530612), 36932: ([3], 0.08333333333333333), 36995: ([392], 0.0022026431718061676), 37368: ([29], 0.014925373134328358), 37456: ([134], 0.003861003861003861), 37475: ([220], 0.0035460992907801418), 37821: ([188], 0.004219409282700422), 37868: ([55, 55], 0.0007089684509039348), 38312: ([0, 0], 0.0006353240152477764), 38631: ([7], 0.003816793893129771)}"
multipledatabatches,"{140: ([72], 0.0035714285714285713), 354: ([305], 0.0016207455429497568), 539: ([271], 0.002638522427440633), 580: ([371], 0.0012787723785166241), 618: ([371], 0.0012787723785166241), 680: ([448], 0.0014814814814814814)}"
multipleinstance,"{153: ([87], 0.003676470588235294), 539: ([121], 0.002638522427440633), 627: ([87], 0.003676470588235294)}"
multiplierfree,"{147: ([299], 0.002066115702479339), 343: ([944], 0.0008620689655172414), 497: ([988], 0.0009157509157509158)}"
multivalued,"{57: ([170], 0.0025974025974025974), 324: ([261], 0.0015552099533437014), 15125: ([106], 0.005714285714285714), 30362: ([115], 0.00032414910858995135), 31694: ([231], 0.0028169014084507044), 34840: ([205], 0.0021929824561403508)}"
multivariate,"{59: ([44, 86], 0.02247191011235955), 89: ([300], 0.0016339869281045752), 91: ([57], 0.009259259259259259), 219: ([99], 0.008064516129032258), 258: ([65], 0.014705882352941176), 343: ([549], 0.0008620689655172414), 476: ([265], 0.0009852216748768472), 497: ([452], 0.0009157509157509158), 511: ([340], 0.0022172949002217295), 516: ([251], 0.0020325203252032522), 556: ([59], 0.016129032258064516), 612: ([769], 0.000445632798573975), 653: ([146, 184, 292], 0.005836575875486381), 662: ([366], 0.0022172949002217295), 9608: ([80], 0.0030211480362537764), 9615: ([122, 709, 1199], 0.0017814726840855108), 15120: ([110], 0.0051813471502590676), 18073: ([62], 0.0020964360587002098), 18537: ([8], 0.005154639175257732), 21559: ([70], 0.0036900369003690036), 22224: ([28], 0.006289308176100629), 23060: ([544], 0.0008726003490401396), 24156: ([2, 6], 0.25), 24345: ([124], 0.0030959752321981426), 25826: ([52], 0.011904761904761904), 26736: ([162], 0.0010964912280701754), 29092: ([111], 0.006944444444444444), 29643: ([427], 0.0003123048094940662), 31680: ([132], 0.0021645021645021645), 32042: ([41], 0.00641025641025641), 34134: ([9], 0.037037037037037035), 34305: ([746], 0.0001920860545524395), 36217: ([56], 0.00390625), 36299: ([0], 0.05), 38659: ([39], 0.02), 38673: ([86], 0.009523809523809525)}"
multiview,"{46: ([5, 49, 60], 0.04477611940298507), 663: ([8, 56, 71], 0.0379746835443038), 9405: ([405], 0.0009652509652509653), 23994: ([209], 0.0011547344110854503)}"
multiway,"{57: ([104], 0.0025974025974025974), 324: ([92], 0.0015552099533437014), 398: ([56], 0.0029154518950437317), 486: ([74], 0.0049261083743842365), 493: ([59], 0.006289308176100629), 539: ([141], 0.002638522427440633)}"
murat,"{42: ([88], 0.0018248175182481751), 452: ([119], 0.0007942811755361397)}"
music,"{254: ([8, 53, 65], 0.04285714285714286), 442: ([7, 50, 60], 0.046875), 9426: ([424], 0.0018050541516245488), 11138: ([10], 0.024390243902439025), 11647: ([23], 0.02631578947368421), 12156: ([20], 0.02857142857142857), 12691: ([3107], 9.857072449482504e-05), 14352: ([64, 64], 0.0004302925989672978), 14844: ([326, 334, 342, 350, 358, 366, 374, 382], 0.015841584158415842), 15832: ([111], 0.004291845493562232), 15946: ([67], 0.009259259259259259), 16258: ([15, 17], 0.0392156862745098), 16859: ([277], 0.0028328611898017), 17176: ([4, 20, 26], 0.075), 17360: ([0, 33, 34], 0.08571428571428572), 17996: ([15, 17], 0.0392156862745098), 19130: ([1, 40, 43], 0.06666666666666667), 19849: ([27, 41], 0.0392156862745098), 20972: ([44], 0.020833333333333332), 21054: ([133, 137, 176], 0.015873015873015872), 21500: ([3, 39, 47], 0.057692307692307696), 21673: ([3, 9, 15], 0.16666666666666666), 21805: ([5], 0.06666666666666667), 25443: ([3], 0.07142857142857142), 26592: ([2, 26, 32], 0.06818181818181818), 26861: ([706, 727], 0.0024752475247524753), 26899: ([88], 0.0030581039755351682), 26987: ([20, 23], 0.05714285714285714), 27622: ([499], 0.0013605442176870747), 27812: ([2, 33, 36], 0.08108108108108109), 28169: ([110], 0.00684931506849315), 28275: ([75], 0.010416666666666666), 28298: ([1], 0.03225806451612903), 28382: ([4, 27, 33], 0.06976744186046512), 29768: ([8], 0.013513513513513514), 30097: ([4, 10, 16], 0.16666666666666666), 31176: ([34], 0.02564102564102564), 31572: ([25], 0.006711409395973154), 33286: ([277], 0.0028328611898017), 34243: ([0, 3, 14, 20], 0.19047619047619047), 34435: ([5], 0.0625), 34726: ([3, 9, 15], 0.16666666666666666), 34855: ([34], 0.02127659574468085), 35011: ([12, 17], 0.1), 35043: ([34], 0.024390243902439025), 35087: ([69, 189], 0.002306805074971165), 35562: ([30], 0.027777777777777776), 36655: ([499], 0.0013605442176870747), 36875: ([3, 9, 15], 0.16666666666666666), 37624: ([44], 0.008547008547008548), 37946: ([263], 0.0034129692832764505)}"
musicant,"{42: ([462], 0.0018248175182481751), 45: ([316], 0.0022624434389140274), 380: ([59, 70], 0.018867924528301886), 497: ([749, 1024], 0.0018315018315018315), 516: ([424, 435], 0.0040650406504065045), 597: ([879], 0.0009727626459143969)}"
musk,"{25: ([4, 52, 61], 0.04477611940298507), 83: ([4, 52, 61], 0.04477611940298507), 153: ([4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 26, 36], 0.058823529411764705), 519: ([4, 52, 61], 0.04477611940298507), 604: ([4, 52, 61], 0.04477611940298507), 627: ([4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 26, 36], 0.058823529411764705), 14366: ([6, 27, 46], 0.04918032786885246), 14386: ([81], 0.006944444444444444), 35333: ([9, 44], 0.034482758620689655)}"
